account_id,company_name,email_domain,industry,state,size_class,n_employees,created_date
ACC-00035,Campos,macedo.com.br,Serviços,SP,,213,2024-06-05
ACC-00036,Pastor - EI,câmaraazeved.com.br,Indústria,SP,pequena,106,2024-02-13
ACC-00037,Santos e Filhos,pastorcâmara.com.br,,PR,media,237,2023-09-13
ACC-00038,Farias S/A,daconceiçãos.net.br,Saúde,RJ,pequena,133,2024-02-22
ACC-00039,Nogueira Cardoso e Filhos,damotarios-m.com.br,Serviços,MG,pequena,143,2023-08-21
ACC-00040,Jesus,dacruz.com.br,Tecnologia,PR,media,200,2024-06-07
ACC-00041,Fogaça,britobritoef.com.br,Varejo,SP,media,214,2023-06-19
ACC-00042,Siqueira,jesus.com.br,Varejo,SP,pequena,78,2024-01-23
ACC-00043,Araújo - ME,rochaefilhos.net.br,Indústria,SP,media,311,2023-08-03
ACC-00044,Correia Correia - EI,caldeira.com.br,Varejo,SP,pequena,135,2023-05-05
ACC-00045,Cirino,carvalho.com.br,Varejo,SP,pequena,143,2023-10-13
ACC-00046,Barbosa Macedo - EI,martins.org.br,Varejo,GO,media,335,2023-05-11
ACC-00047,Borges S.A.,aragãoefilho.org.br,Indústria,RJ,media,298,2023-03-15
ACC-00048,Guerra Araújo S.A.,jesusmendonç.com.br,Tecnologia,SP,media,243,2023-02-03
ACC-00049,da Luz,abreu.com.br,Tecnologia,SP,pequena,101,2023-07-20
ACC-00050,Sampaio,dapaz.com.br,Educação,RJ,grande,395,2024-02-25
ACC-00051,da Rocha Cunha S/A,cassiano.com.br,Indústria,MG,media,261,2023-10-18
ACC-00052,Aragão - EI,souzaltda..net.br,Financeiro,SP,grande,381,2024-06-04
ACC-00053,Araújo Moraes S/A,montenegro.com.br,Varejo,CE,grande,459,2023-03-17
ACC-00054,Guerra Campos - EI,azevedopeixo.com.br,Saúde,SP,grande,468,2024-01-30
ACC-00055,Leão e Filhos,pachecopeixo.org.br,Varejo,RJ,media,152,2023-11-09
ACC-00056,Rios Silva Ltda.,daluz.com.br,Serviços,PE,media,310,2024-04-06
ACC-00057,Marques,daluzgonçalv.org.br,Indústria,RS,pequena,143,2024-02-27
ACC-00058,Albuquerque - ME,sá.com.br,Tecnologia,SP,pequena,127,2023-06-20
ACC-00059,Montenegro da Luz S.A.,barbosa-ei.net.br,Serviços,MG,pequena,62,2024-02-03
ACC-00060,Freitas da Paz S.A.,azevedo.org.br,Tecnologia,RS,grande,422,2024-04-07
ACC-00061,Pimenta,nogueira.net.br,,RS,pequena,98,2023-11-18
ACC-00062,Ribeiro,rios-ei.com.br,Tecnologia,RJ,media,316,2023-01-07
ACC-00063,Caldeira e Filhos,carvalholtda.net.br,Varejo,SP,grande,357,2024-04-25
ACC-00064,Silva Fernandes S.A.,damatadapaz-.org.br,,SP,media,350,2024-01-07
ACC-00065,da Cunha,montenegro.com.br,Varejo,GO,,312,2023-04-19
ACC-00066,da Mota,borgesefilho.com.br,Varejo,PR,media,152,2024-06-09
ACC-00067,Porto da Luz S.A.,abreultda..com.br,Saúde,RS,grande,369,2024-02-26
ACC-00068,Novais,novaes.net.br,Varejo,RS,media,191,2023-10-27
ACC-00069,Nogueira Andrade Ltda.,camargos/a.com.br,Financeiro,RS,pequena,51,2023-05-28
ACC-00070,Fonseca,lopescardoso.net.br,Indústria,BA,pequena,55,2023-09-08
ACC-00071,Rios Caldeira Ltda.,fogaças.a..com.br,Varejo,PR,grande,439,2023-09-08
ACC-00072,da Costa Castro S.A.,pinto.net.br,Educação,MG,pequena,64,2023-10-21
ACC-00073,Sousa Farias - ME,alves.org.br,Varejo,RJ,media,289,2023-08-09
ACC-00074,Garcia S/A,damatacastro.net.br,Tecnologia,MG,pequena,78,2023-08-07
ACC-00075,Marques Ferreira Ltda.,câmara.com.br,Varejo,SP,media,271,2023-06-23
ACC-00076,Guerra Farias Ltda.,câmaraalvese.net.br,Indústria,RS,media,196,2023-10-26
ACC-00077,Ramos,vargasltda..org.br,Financeiro,MG,media,190,2023-08-24
ACC-00078,Alves,rocha.com.br,Agronegócio,RJ,grande,461,2024-02-05
ACC-00079,Andrade,daluzs.a..com.br,Saúde,SP,media,159,2023-03-05
ACC-00080,Siqueira,peixoto-me.net.br,,SP,pequena,78,2023-02-06
ACC-00081,Gomes - EI,lopes.com.br,Saúde,MG,pequena,121,2023-03-25
ACC-00082,Abreu,dacunhaapare.net.br,Educação,SP,media,342,2024-02-25
ACC-00083,Pinto,fonsecalopes.com.br,Indústria,RJ,pequena,118,2023-04-25
ACC-00084,Silveira Ltda.,ribeiro.org.br,Educação,SC,media,318,2024-03-13
ACC-00085,Duarte,rios.com.br,Tecnologia,RJ,pequena,134,2024-02-17
ACC-00086,Novaes,sampaio.com.br,Agronegócio,SP,pequena,68,2023-04-16
ACC-00087,Rocha,correialeãoe.com.br,Serviços,SC,pequena,77,2023-05-14
ACC-00088,Novaes,pimentanunes.com.br,Financeiro,SP,pequena,117,2024-02-11
ACC-00089,Lopes Viana - EI,darosaltda..com.br,Serviços,RJ,media,288,2024-04-10
ACC-00090,Macedo,martins.com.br,Tecnologia,RJ,media,321,2023-10-10
ACC-00091,Ribeiro Barros Ltda.,moraesmeloef.net.br,,SP,pequena,50,2023-07-05
ACC-00092,Rocha das Neves S.A.,borges.com.br,Tecnologia,SP,media,240,2023-08-15
ACC-00093,Melo Pimenta S/A,casagrandeal.com.br,Educação,PR,media,326,2023-09-18
ACC-00094,Silva Sampaio - ME,leão.net.br,Financeiro,SP,grande,495,2023-10-04
ACC-00095,Casa Grande Rezende e Filhos,guerra.net.br,Indústria,SP,grande,367,2024-06-21
ACC-00096,Câmara,sás/a.com.br,Varejo,PR,pequena,84,2024-06-09
ACC-00097,Novais S.A.,sampaiomorei.com.br,Educação,SP,pequena,57,2024-03-09
ACC-00098,Rios,marquess.a..com.br,Saúde,SP,pequena,143,2024-06-04
ACC-00099,Pimenta,sá.org.br,Financeiro,RS,media,152,2024-04-17
ACC-00100,Castro,novaes.com.br,Indústria,SP,,386,2024-06-03
ACC-00101,Sá,machado.net.br,Serviços,SP,grande,442,2024-01-02
ACC-00102,Pires,portodamota-.com.br,Tecnologia,SP,media,321,2023-03-04
ACC-00103,da Costa,damotamacedo.net.br,Varejo,PR,pequena,95,2024-01-27
ACC-00104,Nogueira,farias.net.br,Varejo,outros,media,232,2024-04-12
ACC-00105,Gomes Sales S.A.,carvalhos.a..com.br,Agronegócio,SP,media,219,2023-03-15
ACC-00106,Nogueira,azevedoleão-.com.br,Serviços,SP,media,154,2023-09-03
ACC-00107,Costela - ME,leão.com.br,Serviços,SP,pequena,85,2024-05-04
ACC-00108,Teixeira - EI,vargas.com.br,Financeiro,MG,media,256,2023-01-14
ACC-00109,Fogaça Ltda.,mendes.net.br,Varejo,MG,grande,351,2023-06-04
ACC-00110,Mendonça Câmara Ltda.,leão.org.br,Serviços,RS,grande,416,2023-05-20
ACC-00111,Gomes Ltda.,mendonça.org.br,Varejo,MG,media,214,2023-02-25
ACC-00112,Martins Cardoso - EI,silveira.com.br,Varejo,SP,grande,415,2023-06-10
ACC-00113,Barros e Filhos,gonçalves-ei.net.br,Serviços,SP,media,309,2023-06-20
ACC-00114,Cirino,carvalho.com.br,Financeiro,SP,,56,2023-09-25
ACC-00115,Cunha,daluz-me.com.br,Varejo,RJ,grande,375,2023-01-01
ACC-00116,Teixeira,duarte.com.br,Financeiro,SP,media,237,2023-05-06
ACC-00117,da Cunha,damota.org.br,,PE,pequena,125,2023-06-30
ACC-00118,Ferreira S.A.,melos/a.org.br,,SP,pequena,121,2023-01-12
ACC-00119,Sá S/A,vasconcelose.net.br,Varejo,SP,pequena,121,2023-12-05
ACC-00120,da Costa Cardoso - ME,costaalmeida.com.br,Varejo,MG,grande,478,2023-09-07
ACC-00121,Sampaio,nuness.a..net.br,Tecnologia,MG,grande,434,2023-09-06
ACC-00122,Cavalcante,vargas.com.br,Tecnologia,MG,media,313,2023-06-11
ACC-00123,Caldeira,vasconceloss.org.br,Varejo,SP,pequena,124,2023-07-09
ACC-00124,Gonçalves,dasneves-ei.com.br,Financeiro,GO,pequena,121,2023-03-22
ACC-00125,Caldeira Sampaio Ltda.,barbosapasto.com.br,,outros,,130,2023-10-04
ACC-00126,Ferreira - EI,vieira-ei.org.br,Indústria,GO,pequena,150,2023-02-19
ACC-00127,Azevedo,ribeiro.com.br,Tecnologia,SP,pequena,95,2023-11-21
ACC-00128,Mendonça,albuquerque.com.br,Indústria,BA,pequena,51,2024-04-03
ACC-00129,Santos,lopesltda..com.br,Tecnologia,MG,media,257,2024-02-01
ACC-00130,Pimenta,lopescavalca.com.br,Serviços,PR,pequena,92,2023-07-15
ACC-00131,Siqueira,martins.net.br,Agronegócio,SP,pequena,66,2024-01-08
ACC-00132,Borges da Mota - ME,duarte.com.br,Saúde,SP,grande,380,2023-07-07
ACC-00133,Fernandes,sámartins-ei.com.br,Tecnologia,RS,media,168,2024-02-09
ACC-00134,Mendonça Cunha Ltda.,monteiroltda.com.br,Agronegócio,PR,grande,366,2023-10-02
ACC-00135,Peixoto,fernandes.net.br,Varejo,RS,grande,499,2023-07-25
ACC-00136,Moreira S.A.,novais.net.br,Indústria,RJ,media,214,2023-01-06
ACC-00137,Mendonça,dacostaefilh.com.br,Varejo,SP,pequena,86,2023-08-04
ACC-00138,Machado,salesmeloefi.net.br,Educação,SP,pequena,84,2023-09-16
ACC-00139,Guerra Sales S.A.,borgesltda..com.br,Varejo,RJ,pequena,98,2023-10-13
ACC-00140,Melo,ribeiro.com.br,Educação,RJ,media,247,2024-04-27
ACC-00141,Fogaça,lima.com.br,Financeiro,DF,grande,466,2024-05-07
ACC-00142,da Cunha,damata.com.br,Varejo,MG,pequena,57,2023-08-21
ACC-00143,Campos,campossilvei.com.br,Serviços,SP,pequena,58,2023-05-19
ACC-00144,da Mota,correiacunha.net.br,Tecnologia,RJ,pequena,124,2023-03-02
ACC-00145,da Rocha da Conceição Ltda.,brito.net.br,Educação,SP,pequena,73,2024-05-04
ACC-00146,da Mota Aparecida S/A,darosaalbuqu.net.br,Serviços,SP,pequena,68,2024-04-24
ACC-00147,Porto Sá - ME,sampaio.com.br,Tecnologia,SP,media,294,2023-05-16
ACC-00148,Melo,albuquerque-.com.br,Financeiro,RJ,media,328,2023-09-04
ACC-00149,Cirino,macedo.com.br,Varejo,RJ,pequena,68,2024-06-03
ACC-00150,Azevedo - ME,dacunha-me.com.br,Varejo,SP,pequena,105,2023-07-27
ACC-00151,Cassiano S.A.,barbosa.com.br,Indústria,RJ,media,345,2023-08-07
ACC-00152,Campos Novais - ME,barros.org.br,Financeiro,SP,media,314,2024-03-28
ACC-00153,Macedo,vasconcelosm.com.br,Tecnologia,PR,media,282,2023-12-06
ACC-00154,das Neves,pastor.org.br,Serviços,SP,media,335,2023-10-29
ACC-00155,Teixeira S.A.,pimentaefilh.net.br,Serviços,MG,pequena,93,2023-03-25
ACC-00156,da Costa Cavalcanti - EI,daluzribeiro.com.br,Financeiro,MG,media,214,2023-12-26
ACC-00157,Machado,castros/a.com.br,,SC,pequena,59,2024-01-06
ACC-00158,da Conceição Ltda.,darocha.net.br,Financeiro,RJ,grande,484,2024-02-15
ACC-00159,Barbosa,sampaio.net.br,Tecnologia,MG,media,229,2023-08-09
ACC-00160,Lima Camargo - EI,daluzvianaef.com.br,Serviços,SP,media,332,2024-01-16
ACC-00161,Barbosa Araújo S.A.,ramoscassian.org.br,,MG,media,177,2023-12-24
ACC-00162,Macedo,peixoto.net.br,Financeiro,SP,grande,380,2024-05-13
ACC-00163,Sampaio,martinsefilh.com.br,Varejo,GO,pequena,78,2024-01-04
ACC-00164,Macedo,damata.net.br,Educação,SP,media,291,2023-06-18
ACC-00165,Sousa,peixotos/a.com.br,Tecnologia,RJ,media,259,2023-01-13
ACC-00166,Alves,pereira.com.br,Agronegócio,SP,grande,417,2024-04-12
ACC-00167,Teixeira e Filhos,daconceiçãoe.com.br,Tecnologia,PE,pequena,90,2024-05-13
ACC-00168,Teixeira S.A.,oliveira.com.br,Financeiro,RJ,media,299,2023-12-08
ACC-00169,da Mota,moreira.com.br,Tecnologia,RJ,pequena,96,2023-11-16
ACC-00170,Borges,pachecolopes.net.br,Varejo,SP,pequena,136,2023-09-06
ACC-00171,Farias,ferreira.com.br,Financeiro,outros,pequena,61,2023-08-01
ACC-00172,Castro Ltda.,rios.com.br,Indústria,DF,grande,414,2023-12-12
ACC-00173,da Paz,sales.com.br,Tecnologia,SP,grande,384,2023-12-29
ACC-00174,Marques S/A,teixeira.net.br,Serviços,RS,media,235,2024-03-10
ACC-00175,Camargo,dacunha.com.br,Serviços,DF,pequena,119,2024-02-02
ACC-00176,Ribeiro - EI,moraes.net.br,Varejo,SP,media,235,2023-06-26
ACC-00177,Correia - EI,jesus.com.br,Serviços,PR,pequena,73,2024-02-13
ACC-00178,Pires,pinto.com.br,Agronegócio,SP,pequena,64,2023-06-18
ACC-00179,Costela Ltda.,teixeira.com.br,Varejo,SP,pequena,135,2024-02-27
ACC-00180,Campos,dapazmacedoe.com.br,Varejo,SC,grande,376,2023-10-30
ACC-00181,Santos Castro Ltda.,pires-ei.net.br,Tecnologia,PR,media,268,2023-05-21
ACC-00182,Câmara S/A,novaes-me.net.br,Tecnologia,SP,pequena,96,2023-12-21
ACC-00183,Monteiro Silva Ltda.,campos.org.br,Varejo,SP,pequena,54,2024-03-25
ACC-00184,Melo,leão.org.br,Serviços,BA,pequena,116,2024-06-04
ACC-00185,Correia,marquesnovae.com.br,Tecnologia,RS,media,340,2023-06-07
ACC-00186,Viana,azevedodamot.net.br,Financeiro,SP,pequena,133,2024-05-23
ACC-00187,Silveira,abreu.com.br,Serviços,MG,media,171,2024-03-27
ACC-00188,Cassiano,pastor.com.br,,RS,media,255,2024-04-05
ACC-00189,Ferreira,nascimento.org.br,Agronegócio,GO,media,306,2023-04-04
ACC-00190,Marques,novaes.com.br,Varejo,MG,pequena,144,2023-09-11
ACC-00191,Oliveira Gomes S.A.,correia.com.br,Varejo,SP,pequena,60,2023-08-19
ACC-00192,Souza,aparecida.com.br,Tecnologia,SP,pequena,82,2023-07-06
ACC-00193,Gomes,santos.com.br,Agronegócio,SP,grande,455,2023-02-24
ACC-00194,Brito,monteiroandr.com.br,Saúde,PR,media,175,2024-01-13
ACC-00195,Albuquerque,brito.org.br,Serviços,MG,pequena,97,2024-06-01
ACC-00196,Melo Ltda.,jesusrezende.com.br,Serviços,DF,media,346,2024-06-06
ACC-00197,Rezende,pinto.com.br,Varejo,SP,pequena,71,2023-04-16
ACC-00198,Dias,fariasefilho.org.br,Serviços,MG,pequena,86,2023-07-26
ACC-00199,Pinto S/A,nogueira.com.br,Tecnologia,RJ,media,344,2023-11-07
ACC-00200,Souza Borges - ME,piresrodrigu.com.br,Tecnologia,SP,pequena,82,2023-06-16
ACC-00201,Macedo S.A.,teixeiraefil.com.br,Varejo,SP,media,302,2024-02-17
ACC-00202,Duarte S/A,alves.com.br,Indústria,PE,pequena,110,2024-04-07
ACC-00203,Lopes,fogaça.com.br,,MG,pequena,144,2024-01-07
ACC-00204,Cavalcante Cavalcanti S/A,dacruzmoura-.net.br,Serviços,SP,media,321,2023-11-07
ACC-00205,Monteiro Pacheco S.A.,pinto.com.br,Tecnologia,SP,media,162,2023-05-28
ACC-00206,da Cunha,martinsporto.com.br,Educação,SC,grande,431,2024-04-09
ACC-00207,Barbosa Macedo Ltda.,martinsltda..net.br,Tecnologia,RJ,pequena,89,2024-03-18
ACC-00208,Sales,porto.com.br,Serviços,RJ,pequena,111,2023-03-12
ACC-00209,Costa,marques.com.br,Tecnologia,SP,pequena,123,2024-04-22
ACC-00210,da Costa - ME,mendes.net.br,,SP,media,289,2024-03-07
ACC-00211,Sampaio,oliveira.com.br,Serviços,SP,pequena,95,2023-03-18
ACC-00212,da Mota,almeida.com.br,Serviços,DF,media,340,2023-05-14
ACC-00213,Pereira e Filhos,nunesefilhos.com.br,Indústria,SP,pequena,63,2023-08-24
ACC-00214,Pereira Fogaça S.A.,dapaz.org.br,,SP,media,342,2023-10-13
ACC-00215,Pires Brito e Filhos,pintodacunha.com.br,Saúde,SC,pequena,78,2023-02-02
ACC-00216,Pacheco Ltda.,dasneves-me.com.br,Indústria,RJ,pequena,142,2024-06-24
ACC-00217,Cavalcanti,borgesdaroch.com.br,Varejo,SP,pequena,69,2024-06-10
ACC-00218,Moura,cardosoviana.com.br,Educação,PE,media,317,2023-12-08
ACC-00219,Mendes,cavalcante.org.br,Serviços,RS,grande,383,2024-06-14
ACC-00220,Camargo,souza.com.br,Tecnologia,SP,pequena,89,2024-01-31
ACC-00221,Sá Câmara e Filhos,barbosa.org.br,Agronegócio,SP,media,168,2023-01-20
ACC-00222,Borges,novais.com.br,,DF,grande,383,2023-01-23
ACC-00223,Nascimento,albuquerque.net.br,Varejo,GO,pequena,65,2023-11-07
ACC-00224,Pacheco,marquesltda..org.br,Saúde,BA,media,191,2023-12-08
ACC-00225,Caldeira,porto.com.br,Tecnologia,SP,pequena,112,2024-05-31
ACC-00226,Pimenta,meloalves-ei.com.br,Tecnologia,RS,media,187,2023-03-30
ACC-00227,Sampaio,ramosazevedo.com.br,Varejo,SP,grande,465,2023-04-13
ACC-00228,Camargo,rezende.com.br,Serviços,RJ,grande,427,2023-10-07
ACC-00229,Camargo,aparecidaand.com.br,Indústria,SP,pequena,122,2023-12-15
ACC-00230,Gomes Marques Ltda.,dacosta-ei.net.br,Serviços,SC,pequena,140,2024-01-28
ACC-00231,Leão Rezende S/A,pastor.org.br,Indústria,SP,grande,466,2023-12-11
ACC-00232,da Mota,pimenta.com.br,Tecnologia,PR,pequena,147,2023-07-21
ACC-00233,Macedo Macedo S.A.,salesltda..com.br,Varejo,SP,media,220,2023-03-13
ACC-00234,Nogueira,brito.com.br,Tecnologia,CE,pequena,140,2024-03-14
ACC-00235,da Mota,araújo.net.br,Serviços,RS,grande,460,2024-02-20
ACC-00236,Ramos Porto - EI,camposmarque.com.br,Varejo,SP,pequena,98,2023-07-28
ACC-00237,Cardoso Viana - EI,aragãoltda..com.br,Varejo,RS,media,199,2024-03-03
ACC-00238,Pastor Cunha S.A.,azevedoteixe.com.br,Tecnologia,SP,pequena,132,2023-05-07
ACC-00239,Viana Peixoto S/A,vasconcelos.org.br,Financeiro,SP,pequena,68,2023-05-29
ACC-00240,Nogueira da Cunha S.A.,casagrande.com.br,Tecnologia,PE,media,224,2023-07-19
ACC-00241,Albuquerque Fogaça S.A.,ribeiros/a.net.br,Educação,GO,media,239,2024-04-30
ACC-00242,da Luz Aragão S.A.,almeida.com.br,Varejo,RJ,media,167,2023-09-26
ACC-00243,Souza S/A,moura.net.br,Saúde,PR,pequena,122,2023-05-03
ACC-00244,Moraes,machado.com.br,Agronegócio,RJ,pequena,138,2024-02-13
ACC-00245,Pimenta Aparecida e Filhos,machado-ei.net.br,Tecnologia,SP,media,273,2023-06-11
ACC-00246,Araújo - ME,marques.com.br,Serviços,RS,media,340,2024-01-02
ACC-00247,Mendonça e Filhos,lima.org.br,Tecnologia,RS,grande,466,2023-03-18
ACC-00248,Duarte - EI,barbosa.com.br,Educação,RJ,pequena,77,2024-06-22
ACC-00249,Garcia,azevedocardo.com.br,,SP,pequena,124,2024-03-31
ACC-00250,Brito,marques.org.br,Varejo,RJ,pequena,150,2024-02-02
ACC-00251,Lopes Machado S.A.,rezendeefilh.net.br,Financeiro,SP,pequena,73,2023-04-14
ACC-00252,Guerra,fernandes.com.br,Indústria,DF,media,323,2023-03-31
ACC-00253,Dias - ME,siqueira.com.br,Tecnologia,SP,media,168,2024-02-16
ACC-00254,Freitas,rios.org.br,Serviços,PR,pequena,68,2023-04-26
ACC-00255,Barros S/A,rodriguesmel.com.br,Tecnologia,PE,pequena,77,2023-03-15
ACC-00256,Cardoso,brito.net.br,Tecnologia,SP,pequena,135,2024-03-05
ACC-00257,Rios,pastor-ei.com.br,Agronegócio,SP,grande,388,2024-04-08
ACC-00258,Silveira,jesusltda..net.br,Indústria,SP,media,212,2023-03-08
ACC-00259,Fogaça,dapaz-ei.net.br,Serviços,RS,grande,379,2023-10-15
ACC-00260,Cassiano Ribeiro - ME,oliveira-ei.com.br,Varejo,RJ,pequena,79,2024-01-03
ACC-00261,Camargo,caldeiraferr.net.br,Financeiro,RS,grande,470,2023-05-15
ACC-00262,Lima Novais - EI,oliveira.org.br,Saúde,RS,grande,379,2024-03-20
ACC-00263,Alves,pereiraefilh.com.br,Indústria,SP,media,165,2024-06-22
ACC-00264,Ferreira,damatasampai.org.br,Financeiro,DF,pequena,78,2023-09-20
ACC-00265,Azevedo,cirinos.a..org.br,,SC,media,209,2023-12-26
ACC-00266,Souza - EI,sousaportos/.com.br,Indústria,SP,,293,2023-09-05
ACC-00267,Castro,garcialeão-m.com.br,Tecnologia,RS,grande,481,2023-01-28
ACC-00268,Vasconcelos,dasneves.net.br,Agronegócio,RJ,pequena,125,2023-08-12
ACC-00269,Sá Pinto S/A,aragãos.a..com.br,Varejo,MG,grande,417,2024-01-23
ACC-00270,Mendonça,damata-me.org.br,Serviços,SP,media,246,2023-01-10
ACC-00271,Cunha,leão.org.br,Indústria,GO,pequena,76,2024-06-14
ACC-00272,da Paz e Filhos,ferreira-me.com.br,Varejo,SP,pequena,67,2023-07-27
ACC-00273,Aparecida,moura.com.br,Varejo,PR,media,297,2023-11-13
ACC-00274,Costela Ltda.,gonçalvespei.com.br,Serviços,RJ,media,278,2024-01-20
ACC-00275,Duarte,vargascarval.org.br,Saúde,SP,pequena,92,2023-03-25
ACC-00276,Cavalcanti,abreu-me.com.br,Saúde,PR,pequena,119,2023-04-23
ACC-00277,Montenegro Novais e Filhos,garcianascim.com.br,Agronegócio,SP,pequena,149,2023-11-07
ACC-00278,Sousa,barbosa.net.br,Indústria,RS,pequena,111,2023-12-04
ACC-00279,Barbosa,lopess/a.net.br,Serviços,SP,pequena,93,2023-02-17
ACC-00280,Oliveira,oliveira.com.br,Saúde,PR,media,198,2024-06-08
ACC-00281,da Rocha,santos.com.br,Agronegócio,MG,media,342,2023-10-16
ACC-00282,Cavalcante,guerras/a.com.br,Serviços,RJ,grande,428,2023-11-01
ACC-00283,Borges,sales.com.br,Varejo,SP,pequena,64,2023-02-21
ACC-00284,Lopes Pastor - ME,caldeira.org.br,Varejo,SP,media,297,2023-02-27
ACC-00285,Câmara,gonçalvesltd.org.br,Tecnologia,PR,media,212,2023-08-14
ACC-00286,Barbosa Moraes e Filhos,vasconcelos.com.br,Financeiro,outros,media,251,2024-03-16
ACC-00287,Vasconcelos Ferreira Ltda.,moura-ei.net.br,Tecnologia,outros,media,301,2024-06-26
ACC-00288,Costa,dacostacalde.org.br,Agronegócio,RJ,pequena,136,2023-12-31
ACC-00289,Cavalcanti e Filhos,pereiracassi.net.br,Educação,PR,grande,488,2024-05-09
ACC-00290,Rodrigues,martins.com.br,Indústria,MG,media,260,2023-08-14
ACC-00291,Cassiano,pires.com.br,Tecnologia,SC,pequena,93,2023-04-14
ACC-00292,Macedo,azevedo.com.br,Serviços,SP,pequena,126,2023-03-03
ACC-00293,Pastor,vieira.com.br,Varejo,SP,pequena,143,2023-11-14
ACC-00294,das Neves - ME,fogaça-ei.org.br,Serviços,SP,,111,2023-09-04
ACC-00295,Freitas Ltda.,andrade.com.br,Varejo,SP,grande,401,2023-10-28
ACC-00296,Martins,ramoss/a.com.br,Indústria,RJ,grande,459,2023-11-02
ACC-00297,Duarte Pereira - ME,machado-ei.com.br,,RS,pequena,60,2023-07-12
ACC-00298,Silva,araújomachad.net.br,Indústria,PR,media,279,2023-05-01
ACC-00299,Aparecida da Cruz e Filhos,montenegroef.com.br,Indústria,SP,pequena,68,2023-01-24
ACC-00300,Fonseca Freitas Ltda.,macedo.org.br,,SP,grande,377,2023-11-29
ACC-00301,Rocha,jesus.com.br,Educação,DF,pequena,138,2024-02-21
ACC-00302,Azevedo,vieiraefilho.net.br,Varejo,MG,media,261,2024-05-27
ACC-00303,da Paz,brito.net.br,Varejo,RS,media,292,2023-02-10
ACC-00304,Farias Barros - EI,silveira.com.br,Tecnologia,RS,grande,427,2023-01-13
ACC-00305,Cardoso,ferreiradasn.com.br,Serviços,SP,grande,429,2024-02-05
ACC-00306,Ramos,dasneves-ei.com.br,Tecnologia,PE,media,321,2023-03-09
ACC-00307,Ramos e Filhos,cardoso.net.br,Varejo,SP,pequena,117,2024-01-04
ACC-00308,Almeida,moraes.com.br,Tecnologia,SC,pequena,126,2024-02-04
