opp_id,lead_id,account_id,first_touch_channel,stage,amount_brl,created_date,close_date,is_won,win_probability_hist,stage_prospecting_dt,stage_qualification_dt,stage_proposal_dt,stage_negotiation_dt,stage_closed_dt
OPP-00027,LEAD-000140,ACC-00786,direct,Closed Lost,90400.0,2023-02-01,2023-03-05,0,0.3,2023-02-01,2023-02-10,2023-02-10,2023-02-16,2023-03-05
OPP-00028,LEAD-000141,ACC-01761,organic_search,Closed Won,38700.0,2023-02-02,2023-03-12,1,0.317,2023-02-02,2023-02-02,2023-02-16,2023-02-24,2023-03-12
OPP-00029,LEAD-000145,ACC-00338,linkedin_ads,Closed Lost,67500.0,2023-01-30,2023-04-26,0,0.312,2023-01-30,2023-03-01,2023-03-13,2023-04-06,2023-04-26
OPP-00030,LEAD-000148,ACC-00397,paid_search,Closed Lost,80100.0,2023-02-04,2023-03-25,0,0.209,2023-02-04,2023-02-06,2023-02-20,2023-03-22,2023-03-25
OPP-00031,LEAD-000150,ACC-01539,webinar_evento,Closed Won,55900.0,2023-02-08,2023-05-01,1,0.411,2023-02-08,2023-03-02,2023-03-12,2023-04-20,2023-05-01
OPP-00032,LEAD-000158,ACC-01521,paid_search,Closed Lost,35700.0,2023-01-26,2023-03-09,0,0.251,2023-01-26,2023-01-29,2023-02-12,2023-02-21,2023-03-09
OPP-00033,LEAD-000161,ACC-01226,webinar_evento,Closed Won,49600.0,2023-02-05,2023-05-02,1,0.337,,,,,
OPP-00034,LEAD-000167,ACC-00312,direct,Closed Lost,31900.0,2023-02-11,2023-03-21,0,0.315,2023-02-11,2023-02-12,2023-02-19,2023-02-26,2023-03-21
OPP-00035,LEAD-000173,ACC-00382,webinar_evento,Closed Won,59600.0,2023-02-07,2023-04-21,1,0.411,2023-02-07,2023-02-09,2023-02-12,2023-02-26,2023-04-21
OPP-00036,LEAD-000184,ACC-01336,meta_ads,Closed Won,52500.0,2023-02-03,2023-03-07,1,0.165,2023-02-03,2023-02-05,2023-02-25,2023-02-27,2023-03-07
OPP-00037,LEAD-000194,ACC-01734,linkedin_ads,Closed Lost,82600.0,2023-01-29,2023-05-04,0,0.297,2023-01-29,2023-03-21,2023-05-01,2023-05-02,2023-05-04
OPP-00038,LEAD-000195,ACC-01198,meta_ads,Closed Lost,59500.0,2023-02-03,2023-03-15,0,0.152,2023-02-03,2023-02-16,2023-02-20,2023-03-01,2023-03-15
OPP-00039,LEAD-000198,ACC-01644,webinar_evento,Closed Lost,128100.0,2023-02-13,2023-04-17,0,0.374,2023-02-13,2023-02-24,2023-02-27,2023-03-19,2023-04-17
OPP-00040,LEAD-000201,ACC-00045,direct,Closed Lost,37800.0,2023-01-31,2023-03-12,0,0.315,2023-01-31,2023-02-06,2023-02-06,2023-03-07,2023-03-12
OPP-00041,LEAD-000216,ACC-00861,organic_search,Closed Lost,74800.0,2023-01-30,2023-04-12,0,0.264,2023-01-30,2023-02-09,2023-02-09,2023-04-01,2023-04-12
OPP-00042,LEAD-000223,ACC-01011,linkedin_ads,Closed Won,93200.0,2023-02-11,2023-04-30,1,0.371,2023-02-11,2023-03-21,2023-04-05,2023-04-07,2023-04-30
OPP-00043,LEAD-000233,ACC-00874,direct,Closed Won,41600.0,2023-02-09,2023-04-03,1,0.229,2023-02-09,2023-02-09,2023-03-07,2023-03-18,2023-04-03
OPP-00044,LEAD-000235,ACC-00007,linkedin_ads,Closed Lost,50600.0,2023-01-31,2023-04-23,0,0.252,2023-01-31,2023-03-02,2023-03-09,2023-03-19,2023-04-23
OPP-00045,LEAD-000240,ACC-00677,paid_search,Closed Won,28200.0,2023-01-29,2023-04-02,1,0.251,2023-01-29,2023-02-01,2023-02-24,2023-03-09,2023-04-02
OPP-00046,LEAD-000242,ACC-00347,paid_search,Closed Won,54600.0,2023-02-05,2023-03-21,1,0.24,2023-02-05,2023-03-09,2023-03-17,2023-03-18,2023-03-21
OPP-00047,LEAD-000243,ACC-01296,organic_search,Closed Lost,26900.0,2023-01-31,2023-03-27,0,0.317,2023-01-31,2023-02-06,2023-02-24,2023-02-26,2023-03-27
OPP-00048,LEAD-000251,ACC-00652,linkedin_ads,Closed Lost,119800.0,2023-01-31,2023-04-25,0,0.371,2023-01-31,2023-02-07,2023-03-08,2023-04-07,2023-04-25
OPP-00049,LEAD-000264,ACC-00012,organic_search,Closed Lost,38800.0,2023-01-30,2023-03-18,0,0.251,2023-01-30,2023-02-14,2023-02-27,2023-02-28,2023-03-18
OPP-00050,LEAD-000271,ACC-01500,linkedin_ads,Closed Lost,120500.0,2023-02-17,2023-05-01,0,0.327,2023-02-17,2023-02-18,2023-03-13,2023-04-21,2023-05-01
OPP-00051,LEAD-000273,ACC-01798,paid_search,Closed Lost,110500.0,2023-02-09,2023-03-02,0,0.209,2023-02-09,2023-02-14,2023-02-14,2023-02-24,2023-03-02
OPP-00052,LEAD-000276,ACC-00185,paid_search,Closed Lost,73500.0,2023-02-02,2023-03-27,0,0.24,2023-02-02,2023-03-11,2023-03-16,2023-03-18,2023-03-27
OPP-00053,LEAD-000277,ACC-00293,organic_search,Closed Won,37000.0,2023-02-13,2023-04-22,1,0.29,2023-02-13,2023-02-22,2023-03-12,2023-03-29,2023-04-22
OPP-00054,LEAD-000280,ACC-00022,paid_search,Closed Lost,84600.0,2023-02-06,2023-03-19,0,0.209,2023-02-06,2023-02-16,2023-02-18,2023-03-13,2023-03-19
OPP-00055,LEAD-000297,ACC-01219,paid_search,Closed Won,148700.0,2023-02-16,2023-03-25,1,0.178,2023-02-16,2023-02-22,2023-03-17,2023-03-17,2023-03-25
OPP-00056,LEAD-000303,ACC-00247,webinar_evento,Closed Lost,176100.0,2023-02-19,2023-04-23,0,0.411,2023-02-19,2023-02-19,2023-04-13,2023-04-21,2023-04-23
OPP-00057,LEAD-000305,ACC-00038,organic_search,Closed Lost,31500.0,2023-02-04,2023-04-23,0,0.251,2023-02-04,2023-02-26,2023-03-09,2023-04-07,2023-04-23
OPP-00058,LEAD-000306,ACC-00943,webinar_evento,Closed Lost,45000.0,2023-02-15,2023-05-05,0,0.449,2023-02-15,2023-02-28,2023-04-25,2023-04-25,2023-05-05
OPP-00059,LEAD-000311,ACC-00503,paid_search,Closed Lost,24100.0,2023-02-20,2023-04-19,0,0.209,2023-02-20,2023-02-21,2023-03-11,2023-03-16,2023-04-19
OPP-00060,LEAD-000316,ACC-00282,organic_search,Closed Lost,141800.0,2023-02-09,2023-03-20,0,0.264,2023-02-09,2023-02-16,2023-02-17,2023-02-27,2023-03-20
OPP-00061,LEAD-000321,ACC-00494,webinar_evento,Closed Lost,61400.0,2023-02-12,2023-04-12,0,0.374,2023-02-12,2023-03-06,2023-03-13,2023-03-16,2023-04-12
OPP-00062,LEAD-000324,ACC-01277,paid_search,Closed Lost,34800.0,2023-02-10,2023-03-22,0,0.178,2023-02-10,2023-02-12,2023-02-17,2023-03-18,2023-03-22
OPP-00063,LEAD-000329,ACC-00797,linkedin_ads,Closed Lost,39400.0,2023-02-11,2023-04-26,0,0.327,2023-02-11,2023-02-22,2023-04-19,2023-04-21,2023-04-26
OPP-00064,LEAD-000349,ACC-01261,organic_search,Closed Won,116200.0,2023-02-05,2023-04-22,1,0.317,2023-02-05,2023-02-22,2023-03-06,2023-04-11,2023-04-22
OPP-00065,LEAD-000352,ACC-01703,organic_search,Closed Won,39100.0,2023-02-19,2023-04-03,1,0.317,2023-02-19,2023-03-13,2023-03-20,2023-03-23,2023-04-03
OPP-00066,LEAD-000353,ACC-01111,organic_search,Closed Won,75300.0,2023-02-18,2023-04-03,1,0.264,2023-02-18,2023-02-19,2023-03-15,2023-03-22,2023-04-03
OPP-00067,LEAD-000357,ACC-01028,organic_search,Closed Lost,123900.0,2023-02-09,2023-04-02,0,0.264,2023-02-09,2023-02-12,2023-03-11,2023-03-13,2023-04-02
OPP-00068,LEAD-000359,ACC-00694,paid_search,Closed Lost,26700.0,2023-02-13,2023-04-04,0,0.251,2023-02-13,2023-02-24,2023-03-18,2023-03-22,2023-04-04
OPP-00069,LEAD-000367,ACC-00145,linkedin_ads,Closed Lost,45800.0,2023-02-19,2023-04-29,0,0.267,2023-02-19,2023-03-28,2023-04-17,2023-04-18,2023-04-29
OPP-00070,LEAD-000369,ACC-00799,direct,Closed Lost,144500.0,2023-02-20,2023-03-22,0,0.286,2023-02-20,2023-02-25,2023-02-27,2023-03-19,2023-03-22
OPP-00071,LEAD-000374,ACC-00291,organic_search,Closed Lost,29700.0,2023-02-14,2023-04-05,0,0.317,2023-02-14,2023-02-14,2023-03-25,2023-04-03,2023-04-05
OPP-00072,LEAD-000375,ACC-01378,meta_ads,Closed Lost,21800.0,2023-02-06,2023-03-16,0,0.132,2023-02-06,2023-03-07,2023-03-09,2023-03-09,2023-03-16
OPP-00073,LEAD-000382,ACC-01066,webinar_evento,Closed Lost,42800.0,2023-02-10,2023-04-06,0,0.374,2023-02-10,2023-03-06,2023-03-09,2023-03-10,2023-04-06
OPP-00074,LEAD-000383,ACC-01463,linkedin_ads,Closed Won,110800.0,2023-02-21,2023-05-25,1,0.297,2023-02-21,2023-03-04,2023-04-08,2023-04-21,2023-05-25
OPP-00075,LEAD-000384,ACC-00025,paid_search,Closed Won,52800.0,2023-02-14,2023-03-29,1,0.24,2023-02-14,2023-02-16,2023-03-05,2023-03-10,2023-03-29
OPP-00076,LEAD-000386,ACC-00831,paid_search,Closed Lost,23200.0,2023-02-16,2023-04-01,0,0.209,2023-02-16,2023-02-23,2023-03-23,2023-03-24,2023-04-01
OPP-00077,LEAD-000388,ACC-01835,webinar_evento,Closed Lost,117500.0,2023-02-22,2023-05-22,0,0.468,2023-02-22,2023-04-18,2023-04-26,2023-05-01,2023-05-22
OPP-00078,LEAD-000392,ACC-01386,linkedin_ads,Closed Lost,36100.0,2023-02-12,2023-04-04,0,0.327,,,,,
OPP-00079,LEAD-000396,ACC-01850,paid_search,Closed Lost,38900.0,2023-02-23,2023-03-29,0,0.23,2023-02-23,2023-03-04,2023-03-08,2023-03-24,2023-03-29
OPP-00080,LEAD-000406,ACC-00944,meta_ads,Closed Lost,53800.0,2023-02-13,2023-04-03,0,0.152,2023-02-13,2023-02-15,2023-02-19,2023-03-01,2023-04-03
OPP-00081,LEAD-000414,ACC-01443,webinar_evento,Closed Lost,92900.0,2023-02-26,2023-05-21,0,0.374,2023-02-26,2023-03-09,2023-04-06,2023-05-04,2023-05-21
OPP-00082,LEAD-000416,ACC-01694,webinar_evento,Closed Won,109000.0,2023-03-01,2023-05-30,1,0.374,2023-03-01,2023-03-01,2023-03-29,2023-05-18,2023-05-30
OPP-00083,LEAD-000417,ACC-00031,webinar_evento,Closed Lost,95600.0,2023-02-21,2023-05-02,0,0.374,2023-02-21,2023-03-03,2023-03-23,2023-04-13,2023-05-02
OPP-00084,LEAD-000437,ACC-01846,paid_search,Closed Lost,27100.0,2023-02-26,2023-04-04,0,0.251,2023-02-26,2023-02-28,2023-03-15,2023-03-24,2023-04-04
OPP-00085,LEAD-000439,ACC-01469,webinar_evento,Closed Lost,108000.0,2023-02-26,2023-04-07,0,0.374,2023-02-26,2023-03-03,2023-03-16,2023-03-22,2023-04-07
OPP-00086,LEAD-000445,ACC-00761,paid_search,Closed Lost,27900.0,2023-02-28,2023-04-02,0,0.199,2023-02-28,2023-03-11,2023-03-15,2023-03-26,2023-04-02
OPP-00087,LEAD-000459,ACC-01059,organic_search,Closed Won,73400.0,2023-03-06,2023-05-06,1,0.304,2023-03-06,2023-03-09,2023-03-21,2023-04-09,2023-05-06
OPP-00088,LEAD-000466,ACC-00058,email_marketing,Closed Lost,39200.0,2023-03-07,2023-05-04,0,0.277,2023-03-07,2023-03-11,2023-04-09,2023-04-11,2023-05-04
OPP-00089,LEAD-000468,ACC-01365,webinar_evento,Closed Lost,58700.0,2023-02-26,2023-04-23,0,0.411,2023-02-26,2023-02-28,2023-03-30,2023-04-04,2023-04-23
OPP-00090,LEAD-000470,ACC-00587,direct,Closed Lost,88200.0,2023-03-08,2023-04-12,0,0.315,2023-03-08,2023-03-09,2023-03-31,2023-04-08,2023-04-12
OPP-00091,LEAD-000471,ACC-01581,webinar_evento,Closed Lost,195900.0,2023-03-02,2023-05-12,0,0.524,2023-03-02,2023-03-07,2023-03-25,2023-04-25,2023-05-12
OPP-00092,LEAD-000472,ACC-01225,organic_search,Closed Lost,25200.0,2023-03-05,2023-05-03,0,0.317,2023-03-05,2023-04-15,2023-04-16,2023-04-30,2023-05-03
OPP-00093,LEAD-000477,ACC-00514,paid_search,Closed Lost,86100.0,2023-03-07,2023-04-25,0,0.24,,,,,
OPP-00094,LEAD-000479,ACC-01219,organic_search,Closed Lost,150600.0,2023-03-01,2023-04-10,0,0.224,2023-03-01,2023-03-08,2023-03-28,2023-04-02,2023-04-10
OPP-00095,LEAD-000480,ACC-00588,meta_ads,Closed Lost,26700.0,2023-03-09,2023-04-10,0,0.132,2023-03-09,2023-03-12,2023-03-19,2023-03-19,2023-04-10
OPP-00096,LEAD-000482,ACC-00912,paid_search,Closed Lost,24700.0,2023-02-25,2023-03-27,0,0.188,2023-02-25,2023-02-25,2023-03-13,2023-03-23,2023-03-27
OPP-00097,LEAD-000492,ACC-00334,linkedin_ads,Closed Lost,178500.0,2023-03-07,2023-05-02,0,0.327,2023-03-07,2023-03-19,2023-04-12,2023-04-20,2023-05-02
OPP-00098,LEAD-000495,ACC-00823,webinar_evento,Closed Won,47800.0,2023-03-11,2023-06-06,1,0.318,2023-03-11,2023-04-15,2023-04-21,2023-04-26,2023-06-06
OPP-00099,LEAD-000498,ACC-00044,paid_search,Closed Lost,31400.0,2023-02-25,2023-04-09,0,0.23,2023-02-25,2023-03-08,2023-03-30,2023-03-31,2023-04-09
OPP-00100,LEAD-000500,ACC-00436,webinar_evento,Closed Lost,92300.0,2023-02-28,2023-05-07,0,0.411,2023-02-28,2023-03-06,2023-03-24,2023-03-28,2023-05-07
OPP-00101,LEAD-000510,ACC-00935,linkedin_ads,Closed Lost,57400.0,2023-03-14,2023-05-12,0,0.327,2023-03-14,2023-03-26,2023-03-29,2023-05-08,2023-05-12
OPP-00102,LEAD-000511,ACC-01840,paid_search,Closed Lost,83000.0,2023-03-12,2023-04-05,0,0.23,2023-03-12,2023-03-17,2023-03-17,2023-03-31,2023-04-05
OPP-00103,LEAD-000518,ACC-00585,direct,Closed Lost,78600.0,2023-02-26,2023-04-08,0,0.3,2023-02-26,2023-03-04,2023-03-22,2023-03-31,2023-04-08
OPP-00104,LEAD-000519,ACC-00682,direct,Closed Won,34300.0,2023-03-07,2023-04-17,1,0.315,2023-03-07,2023-03-08,2023-04-04,2023-04-05,2023-04-17
OPP-00105,LEAD-000523,ACC-01089,email_marketing,Closed Lost,92700.0,2023-02-25,2023-04-17,0,0.266,2023-02-25,2023-02-28,2023-03-07,2023-03-11,2023-04-17
OPP-00106,LEAD-000525,ACC-00715,organic_search,Closed Won,62400.0,2023-03-14,2023-05-23,1,0.264,2023-03-14,2023-03-24,2023-03-26,2023-04-15,2023-05-23
OPP-00107,LEAD-000581,ACC-01260,linkedin_ads,Closed Won,190900.0,2023-03-08,2023-05-19,1,0.327,2023-03-08,2023-03-28,2023-04-19,2023-04-23,2023-05-19
OPP-00108,LEAD-000585,ACC-00194,organic_search,Closed Lost,71000.0,2023-03-10,2023-05-24,0,0.29,2023-03-10,2023-04-23,2023-04-23,2023-05-07,2023-05-24
OPP-00109,LEAD-000596,ACC-00933,paid_search,Closed Lost,129900.0,2023-03-18,2023-04-25,0,0.24,2023-03-18,2023-03-22,2023-03-22,2023-04-03,2023-04-25
OPP-00110,LEAD-000602,ACC-00765,organic_search,Closed Won,29500.0,2023-03-10,2023-04-16,1,0.317,2023-03-10,2023-03-15,2023-03-25,2023-03-28,2023-04-16
OPP-00111,LEAD-000604,ACC-00671,organic_search,Closed Won,155000.0,2023-03-05,2023-04-29,1,0.37,2023-03-05,2023-03-10,2023-03-24,2023-03-30,2023-04-29
OPP-00112,LEAD-000605,ACC-01806,meta_ads,Closed Lost,45500.0,2023-03-05,2023-03-24,0,0.132,2023-03-05,2023-03-06,2023-03-07,2023-03-07,2023-03-24
OPP-00113,LEAD-000612,ACC-01649,paid_search,Closed Won,30500.0,2023-03-04,2023-04-06,1,0.209,2023-03-04,2023-03-21,2023-03-23,2023-03-31,2023-04-06
OPP-00114,LEAD-000618,ACC-01988,webinar_evento,Closed Lost,106900.0,2023-03-15,2023-05-29,0,0.374,2023-03-15,2023-03-17,2023-03-22,2023-04-26,2023-05-29
OPP-00115,LEAD-000622,ACC-00570,linkedin_ads,Closed Won,202400.0,2023-03-17,2023-04-23,1,0.297,2023-03-17,2023-03-25,2023-03-30,2023-04-17,2023-04-23
OPP-00116,LEAD-000624,ACC-01054,linkedin_ads,Closed Won,47300.0,2023-03-05,2023-05-18,1,0.327,,,,,
OPP-00117,LEAD-000630,ACC-00457,linkedin_ads,Closed Lost,94700.0,2023-03-18,2023-06-04,0,0.342,2023-03-18,2023-03-26,2023-04-27,2023-05-03,2023-06-04
OPP-00118,LEAD-000635,ACC-01766,webinar_evento,Closed Won,51100.0,2023-03-19,2023-06-19,1,0.411,2023-03-19,2023-04-12,2023-05-01,2023-06-16,2023-06-19
OPP-00119,LEAD-000643,ACC-00036,paid_search,Closed Lost,30100.0,2023-03-11,2023-04-26,0,0.178,2023-03-11,2023-04-04,2023-04-07,2023-04-10,2023-04-26
OPP-00120,LEAD-000647,ACC-01581,organic_search,Closed Lost,141300.0,2023-03-09,2023-05-17,0,0.37,2023-03-09,2023-03-30,2023-04-20,2023-05-10,2023-05-17
OPP-00121,LEAD-000649,ACC-01821,linkedin_ads,Closed Lost,44400.0,2023-03-12,2023-04-22,0,0.327,2023-03-12,2023-03-17,2023-03-21,2023-03-28,2023-04-22
OPP-00122,LEAD-000654,ACC-00154,paid_search,Closed Lost,71400.0,2023-03-16,2023-04-21,0,0.209,2023-03-16,2023-03-16,2023-03-27,2023-04-01,2023-04-21
OPP-00123,LEAD-000655,ACC-00094,linkedin_ads,Closed Lost,197100.0,2023-03-10,2023-05-11,0,0.416,2023-03-10,2023-03-10,2023-03-18,2023-03-22,2023-05-11
OPP-00124,LEAD-000658,ACC-01047,direct,Closed Won,48200.0,2023-03-19,2023-05-03,1,0.315,2023-03-19,2023-04-01,2023-04-06,2023-04-23,2023-05-03
OPP-00125,LEAD-000670,ACC-01586,webinar_evento,Closed Lost,171000.0,2023-03-07,2023-06-13,0,0.374,2023-03-07,2023-03-09,2023-03-12,2023-05-14,2023-06-13
OPP-00126,LEAD-000677,ACC-00768,webinar_evento,Closed Won,53500.0,2023-03-08,2023-04-19,1,0.318,2023-03-08,2023-03-23,2023-03-27,2023-04-05,2023-04-19
OPP-00127,LEAD-000694,ACC-00134,organic_search,Closed Won,161200.0,2023-03-16,2023-05-28,1,0.356,2023-03-16,2023-04-09,2023-05-10,2023-05-24,2023-05-28
OPP-00128,LEAD-000706,ACC-00243,webinar_evento,Closed Lost,59900.0,2023-03-15,2023-06-20,0,0.355,2023-03-15,2023-04-27,2023-05-07,2023-05-14,2023-06-20
OPP-00129,LEAD-000710,ACC-01678,linkedin_ads,Closed Won,49900.0,2023-03-22,2023-05-09,1,0.356,2023-03-22,2023-04-14,2023-04-14,2023-04-29,2023-05-09
OPP-00130,LEAD-000712,ACC-01511,email_marketing,Closed Lost,29400.0,2023-03-27,2023-05-03,0,0.254,2023-03-27,2023-03-29,2023-04-13,2023-04-28,2023-05-03
OPP-00131,LEAD-000716,ACC-01400,direct,Closed Lost,67700.0,2023-03-16,2023-04-24,0,0.329,2023-03-16,2023-03-19,2023-03-23,2023-04-07,2023-04-24
OPP-00132,LEAD-000730,ACC-01374,webinar_evento,Closed Lost,115800.0,2023-03-16,2023-06-07,0,0.374,2023-03-16,2023-04-03,2023-05-04,2023-05-29,2023-06-07
OPP-00133,LEAD-000731,ACC-01169,linkedin_ads,Closed Lost,118600.0,2023-03-25,2023-06-03,0,0.327,2023-03-25,2023-04-20,2023-05-24,2023-05-28,2023-06-03
OPP-00134,LEAD-000734,ACC-00215,webinar_evento,Closed Lost,53800.0,2023-03-11,2023-04-15,0,0.355,2023-03-11,2023-04-08,2023-04-11,2023-04-13,2023-04-15
OPP-00135,LEAD-000747,ACC-01590,direct,Closed Lost,40900.0,2023-03-25,2023-04-24,0,0.229,2023-03-25,2023-04-07,2023-04-14,2023-04-18,2023-04-24
OPP-00136,LEAD-000757,ACC-00429,direct,Closed Lost,38000.0,2023-03-26,2023-04-27,0,0.243,2023-03-26,2023-04-10,2023-04-15,2023-04-23,2023-04-27
OPP-00137,LEAD-000783,ACC-01946,linkedin_ads,Closed Won,46500.0,2023-03-20,2023-06-07,1,0.356,2023-03-20,2023-03-21,2023-03-25,2023-04-30,2023-06-07
OPP-00138,LEAD-000787,ACC-01167,organic_search,Closed Lost,38200.0,2023-03-30,2023-05-25,0,0.317,2023-03-30,2023-04-23,2023-05-04,2023-05-08,2023-05-25
OPP-00139,LEAD-000788,ACC-00528,paid_search,Closed Lost,124400.0,2023-03-30,2023-05-12,0,0.178,2023-03-30,2023-04-02,2023-04-13,2023-05-06,2023-05-12
OPP-00140,LEAD-000792,ACC-00859,meta_ads,Closed Lost,88800.0,2023-03-13,2023-05-02,0,0.158,2023-03-13,2023-04-01,2023-04-25,2023-04-29,2023-05-02
OPP-00141,LEAD-000795,ACC-00046,paid_search,Closed Won,78700.0,2023-03-24,2023-05-04,1,0.209,2023-03-24,2023-04-05,2023-04-21,2023-04-23,2023-05-04
OPP-00142,LEAD-000803,ACC-00786,email_marketing,Closed Lost,86100.0,2023-03-19,2023-04-25,0,0.243,2023-03-19,2023-04-07,2023-04-13,2023-04-22,2023-04-25
OPP-00143,LEAD-000808,ACC-01552,webinar_evento,Closed Won,175300.0,2023-04-02,2023-06-08,1,0.318,2023-04-02,2023-05-07,2023-05-08,2023-06-03,2023-06-08
OPP-00144,LEAD-000811,ACC-00216,direct,Closed Won,42800.0,2023-03-28,2023-04-22,1,0.243,2023-03-28,2023-04-01,2023-04-06,2023-04-14,2023-04-22
OPP-00145,LEAD-000815,ACC-00509,paid_search,Closed Lost,114900.0,2023-03-29,2023-04-23,0,0.23,2023-03-29,2023-03-31,2023-03-31,2023-04-05,2023-04-23
OPP-00146,LEAD-000816,ACC-00771,organic_search,Closed Won,77500.0,2023-03-22,2023-05-19,1,0.264,2023-03-22,2023-04-18,2023-04-24,2023-04-26,2023-05-19
OPP-00147,LEAD-000821,ACC-01991,paid_search,Closed Lost,27200.0,2023-03-29,2023-04-30,0,0.251,2023-03-29,2023-03-29,2023-04-06,2023-04-13,2023-04-30
