session_id,user_pseudo_id,session_date,session_datetime,channel,utm_source,utm_medium,campaign,landing_page,device_category,engagement_time_sec,events_per_session,is_bounce,lead_id
SES-00021219,user_0014071,2023-01-01,2023-01-01T18:10:00,meta_ads,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,mobile,99,9,1,
SES-00136961,user_0086643,2023-01-02,2023-01-02T03:38:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,130,7,1,
SES-00003840,user_0026701,2023-01-02,2023-01-02T07:08:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,mobile,39,4,1,
SES-00088706,user_0038846,2023-01-02,2023-01-02T07:21:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,mobile,5,4,1,
SES-00138636,user_0024483,2023-01-02,2023-01-02T08:09:00,organic_search,google,organic,,/lp/demo-gratis,desktop,189,1,1,
SES-00058795,user_0071235,2023-01-02,2023-01-02T08:10:00,organic_search,google,organic,,/lp/demo-gratis,desktop,65,1,0,
SES-00078431,user_0047559,2023-01-02,2023-01-02T08:28:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,mobile,5,6,0,
SES-00122819,user_0062342,2023-01-02,2023-01-02T08:55:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,286,7,1,
SES-00082539,user_0002633,2023-01-02,2023-01-02T08:58:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,276,5,0,
SES-00012773,user_0016210,2023-01-02,2023-01-02T09:04:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,95,9,0,
SES-00146656,user_0033013,2023-01-02,2023-01-02T09:13:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,42,5,0,
SES-00129565,user_0023913,2023-01-02,2023-01-02T09:33:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,desktop,45,10,1,
SES-00114412,user_0019522,2023-01-02,2023-01-02T09:37:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,207,9,0,
SES-00143434,user_0033707,2023-01-02,2023-01-02T09:46:00,direct,(direct),(none),(direct),/lp/comparativo-erp,desktop,73,1,1,
SES-00026367,user_0087200,2023-01-02,2023-01-02T09:47:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,123,4,1,
SES-00057527,user_0068043,2023-01-02,2023-01-02T09:50:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,61,6,0,
SES-00068678,user_0093028,2023-01-02,2023-01-02T09:56:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,166,8,0,
SES-00092395,user_0029618,2023-01-02,2023-01-02T09:58:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,mobile,259,12,1,
SES-00054306,user_0081041,2023-01-02,2023-01-02T10:02:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,mobile,295,9,1,
SES-00033557,user_0022456,2023-01-02,2023-01-02T10:14:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,5,1,0,
SES-00014161,user_0014590,2023-01-02,2023-01-02T10:18:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,184,2,1,
SES-00034576,user_0072864,2023-01-02,2023-01-02T10:28:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,173,3,0,
SES-00137041,user_0025012,2023-01-02,2023-01-02T10:32:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,347,14,1,
SES-00014913,user_0048660,2023-01-02,2023-01-02T10:35:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,26,7,1,
SES-00033232,user_0058768,2023-01-02,2023-01-02T10:37:00,organic_search,google,organic,,/lp/demo-gratis,mobile,121,4,0,
SES-00025244,user_0028172,2023-01-02,2023-01-02T10:40:00,direct,(direct),(none),,/lp/comparativo-erp,mobile,311,12,0,
SES-00011269,user_0081762,2023-01-02,2023-01-02T10:41:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,mobile,415,10,1,
SES-00039191,user_0049926,2023-01-02,2023-01-02T10:44:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,418,8,0,
SES-00017385,user_0039749,2023-01-02,2023-01-02T10:45:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,518,10,1,
SES-00147776,user_0019249,2023-01-02,2023-01-02T10:47:00,organic_search,google,organic,,/lp/demo-gratis,desktop,77,11,0,
SES-00039580,user_0049835,2023-01-02,2023-01-02T10:59:00,meta_ads,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,mobile,265,5,1,
SES-00106971,user_0092668,2023-01-02,2023-01-02T11:03:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,178,1,0,
SES-00009320,user_0033584,2023-01-02,2023-01-02T11:11:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,140,2,0,
SES-00112969,user_0046152,2023-01-02,2023-01-02T11:12:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,tablet,159,8,1,
SES-00007581,user_0039931,2023-01-02,2023-01-02T11:13:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,230,8,1,
SES-00137287,user_0094769,2023-01-02,2023-01-02T11:14:00,direct,(direct),(none),(not set),/lp/comparativo-erp,desktop,81,7,1,
SES-00019441,user_0069860,2023-01-02,2023-01-02T11:18:00,webinar_evento,webinar,evento,evento_crm_gestores_q1,/lp/demo-gratis,desktop,204,6,1,
SES-00067607,user_0088907,2023-01-02,2023-01-02T11:30:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,tablet,336,8,0,
SES-00123080,user_0025847,2023-01-02,2023-01-02T11:38:00,organic_search,google,organic,,/lp/demo-gratis,desktop,68,3,1,
SES-00070691,user_0010959,2023-01-02,2023-01-02T11:38:00,webinar_evento,webinar,evento,bf-23,/lp/demo-gratis,mobile,5,5,0,
SES-00035768,user_0010382,2023-01-02,2023-01-02T11:43:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,mobile,273,7,1,
SES-00011299,user_0076542,2023-01-02,2023-01-02T11:45:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,276,7,0,
SES-00134806,user_0065769,2023-01-02,2023-01-02T11:45:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,288,8,1,
SES-00009342,user_0055255,2023-01-02,2023-01-02T11:51:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,104,7,1,
SES-00116535,user_0075144,2023-01-02,2023-01-02T12:10:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,234,8,1,
SES-00107437,user_0075485,2023-01-02,2023-01-02T12:13:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,253,8,0,
SES-00051398,user_0093845,2023-01-02,2023-01-02T12:17:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,263,2,1,
SES-00068360,user_0049953,2023-01-02,2023-01-02T12:22:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,mobile,309,7,1,
SES-00065035,user_0051877,2023-01-02,2023-01-02T12:25:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,58,3,0,
SES-00067469,user_0053249,2023-01-02,2023-01-02T12:28:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,201,5,1,
SES-00103073,user_0015117,2023-01-02,2023-01-02T12:52:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,70,5,0,
SES-00103010,user_0043989,2023-01-02,2023-01-02T13:05:00,email_marketing,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,desktop,242,6,1,
SES-00008973,user_0008082,2023-01-02,2023-01-02T13:16:00,email_marketing,email,email,email_nurture_leads_2023,/webinar/integracao-erp-ao-vivo,mobile,167,5,1,
SES-00081608,user_0070174,2023-01-02,2023-01-02T13:26:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,205,6,0,
SES-00144375,user_0046126,2023-01-02,2023-01-02T13:45:00,meta_ads,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,mobile,268,8,1,
SES-00040944,user_0008725,2023-01-02,2023-01-02T14:02:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,5,4,1,
SES-00072356,user_0003286,2023-01-02,2023-01-02T14:20:00,linkedin_ads,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,desktop,260,11,0,
SES-00101733,user_0026009,2023-01-02,2023-01-02T14:21:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,250,8,1,
SES-00039932,user_0000650,2023-01-02,2023-01-02T14:35:00,webinar_evento,webinar,evento,evento_crm_gestores_q1,/lp/demo-gratis,tablet,192,8,0,
SES-00048460,user_0080589,2023-01-02,2023-01-02T14:50:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,73,7,1,
SES-00015412,user_0002614,2023-01-02,2023-01-02T14:52:00,organic_search,google,organic,,/lp/demo-gratis,desktop,12,1,1,
SES-00018783,user_0064322,2023-01-02,2023-01-02T14:57:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,mobile,103,1,1,
SES-00057220,user_0040327,2023-01-02,2023-01-02T15:13:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,128,4,1,
SES-00130841,user_0077988,2023-01-02,2023-01-02T15:14:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,5,1,1,
SES-00031229,user_0066841,2023-01-02,2023-01-02T15:26:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,24,1,1,
SES-00092054,user_0033851,2023-01-02,2023-01-02T15:32:00,organic_search,google,organic,,/lp/demo-gratis,desktop,52,2,1,
SES-00132571,user_0024263,2023-01-02,2023-01-02T15:48:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,247,11,1,
SES-00088147,user_0039286,2023-01-02,2023-01-02T16:00:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,tablet,252,6,0,
SES-00019592,user_0020919,2023-01-02,2023-01-02T16:10:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,58,3,1,
SES-00044375,user_0048662,2023-01-02,2023-01-02T16:15:00,email_marketing,email,email,email_nurture_leads_2023,/webinar/integracao-erp-ao-vivo,mobile,100,5,0,
SES-00138187,user_0071669,2023-01-02,2023-01-02T16:28:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,197,3,1,
SES-00047954,user_0016464,2023-01-02,2023-01-02T17:20:00,linkedin_ads,linkedin,paid_social,linkedin_gestores_2023,/lp/comparativo-erp,tablet,5,3,1,
SES-00098541,user_0041075,2023-01-02,2023-01-02T17:25:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,206,11,1,
SES-00040065,user_0032451,2023-01-02,2023-01-02T17:35:00,email_marketing,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,desktop,40,4,1,
SES-00130680,user_0093895,2023-01-02,2023-01-02T17:43:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,50,4,1,
SES-00033682,user_0070978,2023-01-02,2023-01-02T17:46:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,179,10,1,
SES-00044177,user_0018381,2023-01-02,2023-01-02T18:03:00,organic_search,google,organic,,/lp/demo-gratis,desktop,240,9,1,
SES-00120954,user_0023278,2023-01-02,2023-01-02T18:15:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,288,9,1,
SES-00056226,user_0074638,2023-01-02,2023-01-02T18:19:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,mobile,29,5,1,
SES-00120405,user_0055830,2023-01-02,2023-01-02T18:23:00,direct,(direct),(none),(direct),/lp/comparativo-erp,desktop,246,5,0,
SES-00060090,user_0063691,2023-01-02,2023-01-02T18:29:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,114,3,1,
SES-00062354,user_0033491,2023-01-02,2023-01-02T18:29:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,93,4,0,
SES-00004859,user_0067712,2023-01-02,2023-01-02T18:44:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,tablet,383,10,0,
SES-00007999,user_0057463,2023-01-02,2023-01-02T18:53:00,email_marketing,email,email,email_reengajamento_q1_2023,/webinar/integracao-erp-ao-vivo,tablet,193,6,0,
SES-00091604,user_0093192,2023-01-02,2023-01-02T19:39:00,linkedin_ads,linkedin,paid_social,linkedin_prospeccao_q1_2023,/lp/comparativo-erp,mobile,336,7,0,
SES-00047212,user_0008261,2023-01-02,2023-01-02T20:15:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,tablet,200,6,0,
SES-00076766,user_0070464,2023-01-02,2023-01-02T20:43:00,linkedin_ads,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,mobile,158,9,1,
SES-00093101,user_0051826,2023-01-03,2023-01-03T08:07:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,257,8,0,
SES-00127737,user_0021169,2023-01-03,2023-01-03T08:16:00,email_marketing,email,email,email_nurture_leads_2023,/webinar/integracao-erp-ao-vivo,mobile,141,1,1,
SES-00026250,user_0019524,2023-01-03,2023-01-03T08:29:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,193,4,1,
SES-00074541,user_0062700,2023-01-03,2023-01-03T08:53:00,direct,(direct),(none),,/lp/comparativo-erp,mobile,267,7,1,
SES-00096590,user_0027584,2023-01-03,2023-01-03T09:07:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,mobile,5,7,1,
SES-00018393,user_0007522,2023-01-03,2023-01-03T09:23:00,email_marketing,email,email,newsletter_mensal_01_2023,/webinar/integracao-erp-ao-vivo,mobile,83,4,0,
SES-00040569,user_0086709,2023-01-03,2023-01-03T09:27:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,mobile,156,8,0,
SES-00130410,user_0066781,2023-01-03,2023-01-03T09:37:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,mobile,208,1,0,
SES-00058367,user_0064953,2023-01-03,2023-01-03T09:50:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,mobile,36,3,1,
SES-00036324,user_0018908,2023-01-03,2023-01-03T09:59:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,342,6,1,
SES-00085456,user_0076203,2023-01-03,2023-01-03T10:00:00,organic_search,google,organic,,/lp/demo-gratis,tablet,159,5,1,
SES-00128832,user_0081660,2023-01-03,2023-01-03T10:07:00,direct,(direct),(none),(not set),/lp/comparativo-erp,desktop,185,4,1,
SES-00075547,user_0089147,2023-01-03,2023-01-03T10:25:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,148,4,1,
SES-00128120,user_0016732,2023-01-03,2023-01-03T10:31:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,desktop,274,5,0,LEAD-000005
SES-00047715,user_0039747,2023-01-03,2023-01-03T10:32:00,meta_ads,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,desktop,5,1,1,
SES-00127418,user_0015340,2023-01-03,2023-01-03T10:36:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,356,7,0,
SES-00006407,user_0020415,2023-01-03,2023-01-03T10:40:00,webinar_evento,webinar,evento,campanha-natal-2023,/lp/demo-gratis,desktop,152,1,1,
SES-00137070,user_0097306,2023-01-03,2023-01-03T10:49:00,linkedin_ads,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,mobile,211,5,1,
SES-00149856,user_0026120,2023-01-03,2023-01-03T10:52:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,mobile,5,1,0,
SES-00058775,user_0055123,2023-01-03,2023-01-03T11:19:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,350,4,0,
SES-00148653,user_0073482,2023-01-03,2023-01-03T11:32:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,230,5,1,
SES-00135606,user_0017322,2023-01-03,2023-01-03T11:37:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,104,6,1,
SES-00117742,user_0085192,2023-01-03,2023-01-03T11:46:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,tablet,172,6,0,
SES-00073856,user_0022670,2023-01-03,2023-01-03T11:57:00,direct,(direct),(none),(not set),/lp/comparativo-erp,mobile,124,3,1,
SES-00005132,user_0043779,2023-01-03,2023-01-03T12:06:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,93,4,0,
SES-00001710,user_0096510,2023-01-03,2023-01-03T12:23:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,5,3,1,
SES-00015875,user_0071958,2023-01-03,2023-01-03T12:37:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,96,2,1,
SES-00094758,user_0057576,2023-01-03,2023-01-03T12:39:00,webinar_evento,webinar,evento,webinar_integracao_erp_2023,/lp/demo-gratis,mobile,158,4,0,
SES-00093883,user_0048710,2023-01-03,2023-01-03T12:43:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,337,13,0,
SES-00051075,user_0078194,2023-01-03,2023-01-03T13:21:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,5,2,1,
SES-00017520,user_0013203,2023-01-03,2023-01-03T13:36:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,413,8,1,
SES-00071632,user_0064219,2023-01-03,2023-01-03T13:51:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,25,2,1,
SES-00089521,user_0046580,2023-01-03,2023-01-03T13:55:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,184,6,0,
SES-00136064,user_0025880,2023-01-03,2023-01-03T13:57:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,361,11,0,
SES-00127602,user_0036392,2023-01-03,2023-01-03T14:07:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,149,4,1,
SES-00072521,user_0010832,2023-01-03,2023-01-03T14:28:00,direct,(direct),(none),(direct),/lp/comparativo-erp,desktop,67,9,0,
SES-00070959,user_0095856,2023-01-03,2023-01-03T14:31:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,134,7,1,
SES-00089935,user_0087849,2023-01-03,2023-01-03T14:35:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,desktop,163,7,1,
SES-00040545,user_0063979,2023-01-03,2023-01-03T14:43:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,228,6,1,
SES-00090166,user_0048804,2023-01-03,2023-01-03T14:48:00,direct,(direct),(none),(direct),/lp/comparativo-erp,desktop,266,7,1,
SES-00138143,user_0035152,2023-01-03,2023-01-03T14:57:00,organic_search,google,organic,,/lp/demo-gratis,mobile,121,7,0,
SES-00034706,user_0054185,2023-01-03,2023-01-03T14:59:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,285,12,1,LEAD-000006
SES-00046422,user_0003565,2023-01-03,2023-01-03T15:01:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,desktop,82,6,1,
SES-00142100,user_0089225,2023-01-03,2023-01-03T15:10:00,organic_search,google,organic,(none),/lp/demo-gratis,mobile,5,4,1,
SES-00109165,user_0012180,2023-01-03,2023-01-03T15:30:00,webinar_evento,webinar,evento,webinar_integracao_erp_2023,/lp/demo-gratis,desktop,277,7,0,
SES-00001023,user_0083017,2023-01-03,2023-01-03T15:38:00,organic_search,google,organic,,/lp/demo-gratis,desktop,138,8,0,
SES-00125964,user_0047103,2023-01-03,2023-01-03T15:55:00,email_marketing,email,email,email_nurture_leads_2023,/webinar/integracao-erp-ao-vivo,mobile,208,6,0,
SES-00008542,user_0014873,2023-01-03,2023-01-03T16:07:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,mobile,5,5,1,
SES-00145151,user_0069266,2023-01-03,2023-01-03T16:10:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,149,6,1,
SES-00149337,user_0020365,2023-01-03,2023-01-03T16:11:00,email_marketing,email,email,email_nurture_leads_2023,/webinar/integracao-erp-ao-vivo,mobile,238,3,1,
SES-00110412,user_0017703,2023-01-03,2023-01-03T16:20:00,meta_ads,facebook,paid_social,fb-leads-varejo-2023,/lp/trial-30-dias,mobile,276,8,0,
SES-00081365,user_0031430,2023-01-03,2023-01-03T16:21:00,paid_search,google,cpc,google_brand_keywords_2023,/lp/roi-calculator,mobile,276,5,1,
SES-00034595,user_0045495,2023-01-03,2023-01-03T16:35:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,145,8,0,
SES-00095766,user_0031080,2023-01-03,2023-01-03T16:37:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,350,7,1,
SES-00042309,user_0066873,2023-01-03,2023-01-03T16:41:00,direct,(direct),(none),,/lp/comparativo-erp,tablet,18,6,1,
SES-00088641,user_0029444,2023-01-03,2023-01-03T16:48:00,organic_search,google,organic,(not set),/lp/demo-gratis,mobile,40,1,1,
SES-00042206,user_0088383,2023-01-03,2023-01-03T17:21:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,288,10,1,
SES-00038779,user_0052404,2023-01-03,2023-01-03T17:33:00,direct,(direct),(none),(direct),/lp/comparativo-erp,desktop,38,2,0,LEAD-000007
SES-00102423,user_0057539,2023-01-03,2023-01-03T18:25:00,email_marketing,email,email,campanha_email_01-2023,/webinar/integracao-erp-ao-vivo,mobile,5,1,1,
SES-00081727,user_0030698,2023-01-03,2023-01-03T18:48:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,169,6,1,
SES-00030082,user_0013237,2023-01-03,2023-01-03T20:07:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,5,4,1,
SES-00046799,user_0078076,2023-01-03,2023-01-03T22:48:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,187,2,1,
SES-00104299,user_0038826,2023-01-04,2023-01-04T08:01:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,87,2,1,
SES-00112895,user_0036267,2023-01-04,2023-01-04T08:08:00,email_marketing,email,email,newsletter_mensal_01_2023,/webinar/integracao-erp-ao-vivo,desktop,129,2,1,
SES-00142854,user_0021664,2023-01-04,2023-01-04T08:17:00,organic_search,google,organic,(not set),/lp/demo-gratis,tablet,313,7,0,
SES-00067815,user_0057732,2023-01-04,2023-01-04T08:37:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,204,5,1,
SES-00078953,user_0023820,2023-01-04,2023-01-04T08:39:00,meta_ads,facebook,paid_social,meta_awareness_2023,/lp/trial-30-dias,desktop,71,8,0,
SES-00094595,user_0020345,2023-01-04,2023-01-04T08:41:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,284,10,1,
SES-00047484,user_0003085,2023-01-04,2023-01-04T09:00:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,212,10,0,
SES-00113567,user_0087656,2023-01-04,2023-01-04T09:08:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,mobile,140,4,1,
SES-00009655,user_0076415,2023-01-04,2023-01-04T09:17:00,meta_ads,facebook,paid_social,ig_gestores_b2b_q1,/lp/trial-30-dias,desktop,48,4,0,
SES-00074809,user_0079701,2023-01-04,2023-01-04T09:23:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,desktop,163,7,0,LEAD-000008
SES-00050846,user_0069292,2023-01-04,2023-01-04T09:25:00,paid_search,google,cpc,crm-b2b-keywords-2023,/lp/roi-calculator,desktop,381,9,1,
